text,label,department,pred_dept,pred_conf
Future requirement for broken road in highway.,Later,roads,,
Future requirement for broken road in highway.,Later,roads,,
Future requirement for broken road in main road.,Later,roads,,
Future requirement for broken road in main road.,Later,roads,,
Future requirement for broken road in market area.,Later,roads,,
Future requirement for broken road in residential colony.,Later,roads,,
Future requirement for broken road in town.,Later,roads,,
Future requirement for broken road in village.,Later,roads,,
Future requirement for broken road in village.,Later,roads,,
Future requirement for building public library in bus stand.,Later,civil,,
Future requirement for building public library in highway.,Later,roads,,
Future requirement for building public library in highway.,Later,roads,,
Future requirement for building public library in main road.,Later,roads,,
Future requirement for building public library in residential colony.,Later,civil,,
Future requirement for building public library in residential colony.,Later,civil,,
Future requirement for building public library in residential colony.,Later,civil,,
Future requirement for construction of bus stand in city.,Later,civil,,
Future requirement for construction of bus stand in hospital area.,Later,civil,,
Future requirement for construction of bus stand in market area.,Later,civil,,
Future requirement for construction of bus stand in market area.,Later,civil,,
Future requirement for construction of bus stand in residential colony.,Later,civil,,
Future requirement for electricity outage in bus stand.,Later,electricity,,
Future requirement for electricity outage in city.,Later,electricity,,
Future requirement for electricity outage in hospital area.,Later,electricity,,
Future requirement for electricity outage in main road.,Later,electricity,,
Future requirement for electricity outage in market area.,Later,electricity,,
Future requirement for electricity outage in residential colony.,Later,electricity,,
Future requirement for electricity outage in town.,Later,electricity,,
Future requirement for electricity outage in town.,Later,electricity,,
Future requirement for electricity outage in village.,Later,electricity,,
Future requirement for garbage pileup in city.,Later,sanitation,,
Future requirement for garbage pileup in hospital area.,Later,sanitation,,
Future requirement for garbage pileup in main road.,Later,roads,,
Future requirement for garbage pileup in residential colony.,Later,sanitation,,
Future requirement for hospital medicine shortage in highway.,Later,roads,,
Future requirement for hospital medicine shortage in main road.,Later,roads,,
Future requirement for hospital medicine shortage in main road.,Later,roads,,
Future requirement for need new school in highway.,Later,roads,,
Future requirement for need overhead water tank in city.,Later,water,,
Future requirement for need overhead water tank in main road.,Later,water,,
Future requirement for need overhead water tank in main road.,Later,water,,
Future requirement for need overhead water tank in residential colony.,Later,water,,
