text,pred_dept,pred_conf
Dam for the village,civil,0.8145423616007076
Future requirement for bus stand crowding in city.,civil,0.8162317334985647
Future requirement for bus stand crowding in city.,civil,0.8162317334985647
Future requirement for hospital medicine shortage in hospital area.,roads,0.5065313319795276
Future requirement for hospital medicine shortage in hospital area.,roads,0.5065313319795276
Future requirement for hospital medicine shortage in residential colony.,roads,0.464014478097305
Future requirement for hospital medicine shortage in school zone.,roads,0.463130246747371
Future requirement for hospital medicine shortage in town.,roads,0.5553599924632698
Future requirement for hospital medicine shortage in village.,roads,0.5580435463106638
Future requirement for hospital medicine shortage in village.,roads,0.5580435463106638
Future requirement for need new school in city.,civil,0.4739917759907489
Future requirement for need new school in hospital area.,civil,0.5790649355386104
Future requirement for need new school in hospital area.,civil,0.5790649355386104
Future requirement for need new school in market area.,civil,0.5953596451971498
Future requirement for need new school in market area.,civil,0.5953596451971498
Future requirement for need new school in market area.,civil,0.5953596451971498
Future requirement for need new school in residential colony.,civil,0.6120927290100867
Future requirement for need new school in school zone.,civil,0.6076544639243356
Future requirement for public toilet maintenance in city.,roads,0.5669056164053774
Future requirement for public toilet maintenance in hospital area.,civil,0.4637128051693153
Future requirement for public toilet maintenance in hospital area.,civil,0.4637128051693153
Future requirement for public toilet maintenance in hospital area.,civil,0.4637128051693153
Future requirement for public toilet maintenance in hospital area.,civil,0.4637128051693153
Future requirement for public toilet maintenance in residential colony.,civil,0.4986348110532856
Future requirement for public toilet maintenance in school zone.,civil,0.5049607201986249
Future requirement for public toilet maintenance in school zone.,civil,0.5049607201986249
Future requirement for public toilet maintenance in town.,roads,0.5095468387915117
Future requirement for public toilet maintenance in village.,roads,0.5207628483758372
Future requirement for public toilet maintenance in village.,roads,0.5207628483758372
Future requirement for public toilet maintenance in village.,roads,0.5207628483758372
Future requirement for solar street lights installation in bus stand.,roads,0.8090361320953964
Future requirement for solar street lights installation in city.,roads,0.8427338138633181
Future requirement for solar street lights installation in residential colony.,roads,0.7571136876211471
Future requirement for solar street lights installation in town.,roads,0.8215312305606437
Future requirement for solar street lights installation in town.,roads,0.8215312305606437
Future requirement for sports ground request in hospital area.,roads,0.6551785180816972
Future requirement for sports ground request in hospital area.,roads,0.6551785180816972
Future requirement for sports ground request in market area.,roads,0.62124692701854
Future requirement for sports ground request in market area.,roads,0.62124692701854
Future requirement for sports ground request in residential colony.,roads,0.6194099305480932
Future requirement for sports ground request in town.,roads,0.7067812477773322
Future requirement for sports ground request in village.,roads,0.7102275687793903
Future requirement for streetlight failure in bus stand.,roads,0.5799199325642524
Future requirement for streetlight failure in bus stand.,roads,0.5799199325642524
Future requirement for streetlight failure in bus stand.,roads,0.5799199325642524
Future requirement for streetlight failure in hospital area.,roads,0.529225452052961
Future requirement for streetlight failure in hospital area.,roads,0.529225452052961
Future requirement for streetlight failure in market area.,roads,0.4862821390597131
Future requirement for streetlight failure in school zone.,roads,0.48703493802126085
Future requirement for streetlight failure in school zone.,roads,0.48703493802126085
Long-term development needed: bus stand crowding at bus stand.,civil,0.800804665667358
Long-term development needed: bus stand crowding at city.,civil,0.7521247256978075
Long-term development needed: bus stand crowding at hospital area.,civil,0.8080430526193991
Long-term development needed: bus stand crowding at hospital area.,civil,0.8080430526193991
Long-term development needed: bus stand crowding at market area.,civil,0.8140185445669136
Long-term development needed: bus stand crowding at residential colony.,civil,0.8002823265886897
Long-term development needed: hospital medicine shortage at city.,roads,0.5837394937867182
Long-term development needed: hospital medicine shortage at market area.,roads,0.4273971743222685
Long-term development needed: hospital medicine shortage at school zone.,roads,0.4851716129699477
Long-term development needed: hospital medicine shortage at school zone.,roads,0.4851716129699477
Long-term development needed: need new school at market area.,civil,0.6010237942457332
Long-term development needed: need new school at market area.,civil,0.6010237942457332
Long-term development needed: need new school at market area.,civil,0.6010237942457332
Long-term development needed: need new school at town.,civil,0.5541984357470305
Long-term development needed: need new school at town.,civil,0.5541984357470305
Long-term development needed: need new school at village.,civil,0.5043012564661855
Long-term development needed: need new school at village.,civil,0.5043012564661855
Long-term development needed: need new school at village.,civil,0.5043012564661855
Long-term development needed: public toilet maintenance at bus stand.,roads,0.5080131510870888
Long-term development needed: public toilet maintenance at bus stand.,roads,0.5080131510870888
Long-term development needed: public toilet maintenance at city.,roads,0.6226781650657464
Long-term development needed: public toilet maintenance at hospital area.,roads,0.4924545566371341
Long-term development needed: public toilet maintenance at market area.,roads,0.4734432414851546
