text,label,department
Unauthorized construction at Market Area violates building regulations and blocks sunlight to nearby homes. Families and elderly are affected. Kindly investigate the matter,neutral,civil
Road construction left debris at Near City Park. Vehicles are being damaged frequently. Please take necessary steps Please coordinate with the local ward member.,neutral,roads
A burst water pipe at Old Bus Stand floods the road and affects nearby homes. This is causing significant inconvenience to residents. This is an emergency Photos can be provided on request.,urgent,water
Traffic signals at Temple Street are non-functional leading to congestion and safety issues. This is causing significant inconvenience to residents. Please take necessary steps This has been ongoing for weeks.,neutral,roads
Road construction left debris at Market Area. Vehicles are being damaged frequently. Local shops are losing business due to this. This is an emergency,urgent,roads
Collapsed boundary wall at MG Road is a safety risk to children and pedestrians. Request to address when possible,neutral,civil
Moderate issue observed: need new school at residential colony. Kindly check.,neutral,water
Road construction left debris at Temple Street. Vehicles are being damaged frequently. Local shops are losing business due to this. Can be scheduled later,later,roads
Public structure at MG Road needs inspection and repair; cracks appearing on walls. Routine attention is fine,later,civil
Request for new project regarding sports ground request in city.,later,roads
Voltage fluctuations are damaging appliances in 5th Cross. Request inspection and stabilization of supply. This is causing significant inconvenience to residents. This is an emergency Photos can be provided on request.,urgent,electricity
Public toilets at Sector 5 are unusable and improperly maintained; request cleaning and repair. Children and patients are particularly impacted. Please look into this,neutral,sanitation
Traffic signals at Lake Road are non-functional leading to congestion and safety issues. Local shops are losing business due to this. Please consider for future maintenance,later,roads
Delay in issuing building permit for Temple Street stalls legitimate construction. Urgent action needed,urgent,civil
Street lights are not working on Lake Road at night causing safety hazards. Children and patients are particularly impacted. Please coordinate with the local ward member.,later,electricity
Delay in issuing building permit for Sector 5 stalls legitimate construction. Families and elderly are affected.,neutral,civil
Moderate issue observed: need overhead water tank at main road. Kindly check.,neutral,water
"Suspicious persons and petty crimes reported near Industrial Area; streetlights and patrol needed. Children and patients are particularly impacted. Not urgent, can wait Please coordinate with the local ward member.",later,crime
Public toilets at Industrial Area are unusable and improperly maintained; request cleaning and repair. This is causing significant inconvenience to residents.,urgent,sanitation
"Sewage overflow at River Side contaminates street and poses health risks. Families and elderly are affected. Not urgent, can wait",later,sanitation
Suspicious persons and petty crimes reported near Near School; streetlights and patrol needed. Families and elderly are affected. Can be scheduled later,later,crime
"There is continuous leakage from the main pipeline on Market Area, causing low water pressure and contamination concerns. This is causing significant inconvenience to residents. Please consider for future maintenance We request a technician visit during office hours.",later,water
Road construction left debris at Old Bus Stand. Vehicles are being damaged frequently. This is causing significant inconvenience to residents. Request to address when possible This has been ongoing for weeks.,neutral,roads
"There have been repeated thefts in Old Bus Stand; increased police patrolling requested. This is causing significant inconvenience to residents. Not urgent, can wait",later,crime
Traffic signals at Near City Park are non-functional leading to congestion and safety issues. Local shops are losing business due to this. Kindly investigate the matter,neutral,roads
Motorbike snatching occurred at Old Bus Stand; CCTV and quick response required. This is causing significant inconvenience to residents.,later,crime
Dirty water is coming from the tap in Near City Park. Suspect contamination near the supply source. Please look into this,neutral,water
"Sewage overflow at Near City Park contaminates street and poses health risks. This is causing significant inconvenience to residents. Not urgent, can wait This has been ongoing for weeks.",later,sanitation
"Delay in issuing building permit for Near School stalls legitimate construction. This is causing significant inconvenience to residents. Not urgent, can wait This has been ongoing for weeks.",later,civil
There have been repeated thefts in MG Road; increased police patrolling requested. This is an emergency,urgent,crime
Proposal to improve need overhead water tank in bus stand in future plans.,later,water
Street lights are not working on Old Bus Stand at night causing safety hazards. Please fix immediately,urgent,electricity
Large potholes on Near City Park are causing accidents and vehicle damage; request resurfacing. This is causing significant inconvenience to residents. This requires immediate attention Please coordinate with the local ward member.,urgent,roads
Road construction left debris at Temple Street. Vehicles are being damaged frequently. Children and patients are particularly impacted. Request to address when possible,neutral,roads
"Open drains clogged at Near City Park create breeding grounds for mosquitoes. Local shops are losing business due to this. Not urgent, can wait",later,sanitation
Frequent power cuts in Near School disrupt businesses and studies. Need immediate repair to transformer. Children and patients are particularly impacted. Kindly investigate the matter This has been ongoing for weeks.,neutral,electricity
Public structure at Near School needs inspection and repair; cracks appearing on walls. Local shops are losing business due to this. Please fix immediately,urgent,civil
Plan to establish sewage overflow in highway can be considered later.,later,water
Voltage fluctuations are damaging appliances in Temple Street. Request inspection and stabilization of supply. Routine attention is fine,later,electricity
"Public structure at Sector 5 needs inspection and repair; cracks appearing on walls. Local shops are losing business due to this. Not urgent, can wait",later,civil
Collapsed boundary wall at Industrial Area is a safety risk to children and pedestrians. This is causing significant inconvenience to residents. This requires immediate attention Photos can be provided on request.,urgent,civil
