text,label
Dam for the village,Later
Future requirement for broken road in highway.,Later
Future requirement for broken road in highway.,Later
Future requirement for broken road in main road.,Later
Future requirement for broken road in main road.,Later
Future requirement for broken road in market area.,Later
Future requirement for broken road in residential colony.,Later
Future requirement for broken road in town.,Later
Future requirement for broken road in village.,Later
Future requirement for broken road in village.,Later
Future requirement for building public library in bus stand.,Later
Future requirement for building public library in highway.,Later
Future requirement for building public library in highway.,Later
Future requirement for building public library in main road.,Later
Future requirement for building public library in residential colony.,Later
Future requirement for building public library in residential colony.,Later
Future requirement for building public library in residential colony.,Later
Future requirement for bus stand crowding in city.,Later
Future requirement for bus stand crowding in city.,Later
Future requirement for bus stand crowding in market area.,Later
Future requirement for bus stand crowding in market area.,Later
Future requirement for bus stand crowding in market area.,Later
Future requirement for bus stand crowding in residential colony.,Later
Future requirement for bus stand crowding in residential colony.,Later
Future requirement for construction of bus stand in city.,Later
Future requirement for construction of bus stand in hospital area.,Later
Future requirement for construction of bus stand in market area.,Later
Future requirement for construction of bus stand in market area.,Later
Future requirement for construction of bus stand in residential colony.,Later
Future requirement for electricity outage in bus stand.,Later
Future requirement for electricity outage in city.,Later
Future requirement for electricity outage in hospital area.,Later
Future requirement for electricity outage in main road.,Later
Future requirement for electricity outage in market area.,Later
Future requirement for electricity outage in residential colony.,Later
Future requirement for electricity outage in town.,Later
Future requirement for electricity outage in town.,Later
Future requirement for electricity outage in village.,Later
Future requirement for garbage pileup in city.,Later
Future requirement for garbage pileup in hospital area.,Later
Future requirement for garbage pileup in main road.,Later
Future requirement for garbage pileup in residential colony.,Later
Future requirement for hospital medicine shortage in highway.,Later
Future requirement for hospital medicine shortage in hospital area.,Later
Future requirement for hospital medicine shortage in hospital area.,Later
Future requirement for hospital medicine shortage in main road.,Later
Future requirement for hospital medicine shortage in main road.,Later
Future requirement for hospital medicine shortage in residential colony.,Later
Future requirement for hospital medicine shortage in school zone.,Later
Future requirement for hospital medicine shortage in town.,Later
Future requirement for hospital medicine shortage in village.,Later
Future requirement for hospital medicine shortage in village.,Later
Future requirement for need new school in city.,Later
Future requirement for need new school in highway.,Later
Future requirement for need new school in hospital area.,Later
Future requirement for need new school in hospital area.,Later
Future requirement for need new school in market area.,Later
Future requirement for need new school in market area.,Later
Future requirement for need new school in market area.,Later
Future requirement for need new school in residential colony.,Later
Future requirement for need new school in school zone.,Later
Future requirement for need overhead water tank in city.,Later
Future requirement for need overhead water tank in main road.,Later
Future requirement for need overhead water tank in main road.,Later
Future requirement for need overhead water tank in residential colony.,Later
Future requirement for need overhead water tank in residential colony.,Later
Future requirement for need overhead water tank in school zone.,Later
Future requirement for need overhead water tank in town.,Later
Future requirement for need overhead water tank in town.,Later
Future requirement for need overhead water tank in village.,Later
Future requirement for public toilet maintenance in city.,Later
Future requirement for public toilet maintenance in hospital area.,Later
Future requirement for public toilet maintenance in hospital area.,Later
Future requirement for public toilet maintenance in hospital area.,Later
Future requirement for public toilet maintenance in hospital area.,Later
Future requirement for public toilet maintenance in main road.,Later
Future requirement for public toilet maintenance in residential colony.,Later
Future requirement for public toilet maintenance in school zone.,Later
Future requirement for public toilet maintenance in school zone.,Later
Future requirement for public toilet maintenance in town.,Later
Future requirement for public toilet maintenance in village.,Later
Future requirement for public toilet maintenance in village.,Later
Future requirement for public toilet maintenance in village.,Later
Future requirement for school building damage in bus stand.,Later
Future requirement for school building damage in city.,Later
Future requirement for school building damage in city.,Later
Future requirement for school building damage in highway.,Later
Future requirement for school building damage in hospital area.,Later
Future requirement for school building damage in hospital area.,Later
Future requirement for school building damage in hospital area.,Later
Future requirement for school building damage in hospital area.,Later
Future requirement for school building damage in main road.,Later
Future requirement for school building damage in market area.,Later
Future requirement for school building damage in town.,Later
Future requirement for school building damage in village.,Later
Future requirement for sewage overflow in city.,Later
Future requirement for sewage overflow in highway.,Later
Future requirement for sewage overflow in market area.,Later
Future requirement for sewage overflow in school zone.,Later
Future requirement for sewage overflow in school zone.,Later
Future requirement for sewage overflow in town.,Later
Future requirement for sewage overflow in village.,Later
Future requirement for solar street lights installation in bus stand.,Later
Future requirement for solar street lights installation in city.,Later
Future requirement for solar street lights installation in highway.,Later
Future requirement for solar street lights installation in main road.,Later
Future requirement for solar street lights installation in residential colony.,Later
Future requirement for solar street lights installation in town.,Later
Future requirement for solar street lights installation in town.,Later
Future requirement for sports ground request in hospital area.,Later
Future requirement for sports ground request in hospital area.,Later
Future requirement for sports ground request in main road.,Later
Future requirement for sports ground request in main road.,Later
Future requirement for sports ground request in market area.,Later
Future requirement for sports ground request in market area.,Later
Future requirement for sports ground request in residential colony.,Later
Future requirement for sports ground request in town.,Later
Future requirement for sports ground request in village.,Later
Future requirement for streetlight failure in bus stand.,Later
Future requirement for streetlight failure in bus stand.,Later
Future requirement for streetlight failure in bus stand.,Later
Future requirement for streetlight failure in highway.,Later
Future requirement for streetlight failure in hospital area.,Later
Future requirement for streetlight failure in hospital area.,Later
Future requirement for streetlight failure in market area.,Later
Future requirement for streetlight failure in school zone.,Later
Future requirement for streetlight failure in school zone.,Later
Future requirement for water supply shortage in hospital area.,Later
Future requirement for water supply shortage in market area.,Later
Future requirement for water supply shortage in residential colony.,Later
Future requirement for water supply shortage in residential colony.,Later
Future requirement for water supply shortage in school zone.,Later
Future requirement for water supply shortage in school zone.,Later
Future requirement for water supply shortage in town.,Later
Future requirement for water supply shortage in town.,Later
Future requirement for water supply shortage in village.,Later
Long-term development needed: broken road at bus stand.,Later
Long-term development needed: broken road at bus stand.,Later
Long-term development needed: broken road at residential colony.,Later
Long-term development needed: broken road at residential colony.,Later
Long-term development needed: broken road at school zone.,Later
Long-term development needed: broken road at school zone.,Later
Long-term development needed: building public library at bus stand.,Later
Long-term development needed: building public library at city.,Later
Long-term development needed: building public library at highway.,Later
Long-term development needed: building public library at hospital area.,Later
Long-term development needed: building public library at main road.,Later
Long-term development needed: building public library at main road.,Later
Long-term development needed: building public library at market area.,Later
Long-term development needed: building public library at school zone.,Later
Long-term development needed: building public library at town.,Later
Long-term development needed: bus stand crowding at bus stand.,Later
Long-term development needed: bus stand crowding at city.,Later
Long-term development needed: bus stand crowding at highway.,Later
Long-term development needed: bus stand crowding at hospital area.,Later
Long-term development needed: bus stand crowding at hospital area.,Later
Long-term development needed: bus stand crowding at main road.,Later
Long-term development needed: bus stand crowding at market area.,Later
Long-term development needed: bus stand crowding at residential colony.,Later
Long-term development needed: construction of bus stand at main road.,Later
Long-term development needed: construction of bus stand at market area.,Later
Long-term development needed: construction of bus stand at market area.,Later
Long-term development needed: construction of bus stand at town.,Later
Long-term development needed: construction of bus stand at village.,Later
Long-term development needed: construction of bus stand at village.,Later
Long-term development needed: electricity outage at bus stand.,Later
Long-term development needed: electricity outage at city.,Later
Long-term development needed: electricity outage at city.,Later
Long-term development needed: electricity outage at city.,Later
Long-term development needed: electricity outage at main road.,Later
Long-term development needed: electricity outage at residential colony.,Later
Long-term development needed: electricity outage at residential colony.,Later
Long-term development needed: electricity outage at residential colony.,Later
Long-term development needed: electricity outage at school zone.,Later
Long-term development needed: electricity outage at school zone.,Later
Long-term development needed: garbage pileup at bus stand.,Later
Long-term development needed: garbage pileup at city.,Later
Long-term development needed: garbage pileup at city.,Later
Long-term development needed: garbage pileup at main road.,Later
Long-term development needed: garbage pileup at main road.,Later
Long-term development needed: garbage pileup at market area.,Later
Long-term development needed: garbage pileup at market area.,Later
Long-term development needed: garbage pileup at residential colony.,Later
Long-term development needed: garbage pileup at village.,Later
Long-term development needed: hospital medicine shortage at city.,Later
Long-term development needed: hospital medicine shortage at highway.,Later
Long-term development needed: hospital medicine shortage at highway.,Later
Long-term development needed: hospital medicine shortage at highway.,Later
Long-term development needed: hospital medicine shortage at market area.,Later
Long-term development needed: hospital medicine shortage at school zone.,Later
Long-term development needed: hospital medicine shortage at school zone.,Later
Long-term development needed: need new school at highway.,Later
Long-term development needed: need new school at main road.,Later
Long-term development needed: need new school at market area.,Later
Long-term development needed: need new school at market area.,Later
Long-term development needed: need new school at market area.,Later
Long-term development needed: need new school at town.,Later
Long-term development needed: need new school at town.,Later
Long-term development needed: need new school at village.,Later
Long-term development needed: need new school at village.,Later
Long-term development needed: need new school at village.,Later
Long-term development needed: need overhead water tank at bus stand.,Later
Long-term development needed: need overhead water tank at city.,Later
Long-term development needed: need overhead water tank at highway.,Later
Long-term development needed: need overhead water tank at main road.,Later
Long-term development needed: need overhead water tank at main road.,Later
Long-term development needed: need overhead water tank at market area.,Later
Long-term development needed: need overhead water tank at residential colony.,Later
Long-term development needed: need overhead water tank at school zone.,Later
Long-term development needed: need overhead water tank at village.,Later
Long-term development needed: need overhead water tank at village.,Later
Long-term development needed: public toilet maintenance at bus stand.,Later
Long-term development needed: public toilet maintenance at bus stand.,Later
Long-term development needed: public toilet maintenance at city.,Later
Long-term development needed: public toilet maintenance at highway.,Later
Long-term development needed: public toilet maintenance at highway.,Later
Long-term development needed: public toilet maintenance at hospital area.,Later
Long-term development needed: public toilet maintenance at market area.,Later
Long-term development needed: public toilet maintenance at market area.,Later
Long-term development needed: public toilet maintenance at market area.,Later
Long-term development needed: public toilet maintenance at town.,Later
Long-term development needed: public toilet maintenance at village.,Later
Long-term development needed: school building damage at bus stand.,Later
Long-term development needed: school building damage at bus stand.,Later
Long-term development needed: school building damage at bus stand.,Later
Long-term development needed: school building damage at highway.,Later
Long-term development needed: school building damage at main road.,Later
Long-term development needed: school building damage at market area.,Later
Long-term development needed: school building damage at residential colony.,Later
Long-term development needed: school building damage at school zone.,Later
Long-term development needed: sewage overflow at bus stand.,Later
Long-term development needed: sewage overflow at highway.,Later
Long-term development needed: sewage overflow at highway.,Later
Long-term development needed: sewage overflow at hospital area.,Later
Long-term development needed: sewage overflow at residential colony.,Later
Long-term development needed: sewage overflow at residential colony.,Later
Long-term development needed: sewage overflow at school zone.,Later
Long-term development needed: solar street lights installation at bus stand.,Later
Long-term development needed: solar street lights installation at city.,Later
Long-term development needed: solar street lights installation at city.,Later
Long-term development needed: solar street lights installation at highway.,Later
Long-term development needed: solar street lights installation at hospital area.,Later
Long-term development needed: solar street lights installation at market area.,Later
Long-term development needed: solar street lights installation at market area.,Later
Long-term development needed: solar street lights installation at market area.,Later
Long-term development needed: solar street lights installation at residential colony.,Later
Long-term development needed: solar street lights installation at school zone.,Later
Long-term development needed: sports ground request at hospital area.,Later
Long-term development needed: sports ground request at hospital area.,Later
Long-term development needed: sports ground request at market area.,Later
Long-term development needed: sports ground request at residential colony.,Later
Long-term development needed: sports ground request at school zone.,Later
Long-term development needed: sports ground request at school zone.,Later
Long-term development needed: sports ground request at school zone.,Later
Long-term development needed: sports ground request at town.,Later
Long-term development needed: sports ground request at village.,Later
Long-term development needed: streetlight failure at city.,Later
Long-term development needed: streetlight failure at city.,Later
Long-term development needed: streetlight failure at highway.,Later
